Name:;Daten Ger. INSTR 04.09.2020 14:34:57
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:34:58
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
71;04.09.2020 14:36:08;1,3190278;0;145,85365;0;5,8095962;0;24,519868;0;366,59726;0;429,65404;0;461,94707;0;443,79704;0;407,07191;0;0;0
72;04.09.2020 14:36:09;1,3625393;0;144,59339;0;5,8052711;0;24,520076;0;362,64526;0;428,97251;0;461,19002;0;442,95574;0;406,62001;0;0;0
73;04.09.2020 14:36:10;1,7597427;0;146,20708;0;5,8004457;0;24,512885;0;360,07252;0;428,28812;0;460,29874;0;442,15545;0;406,14411;0;0;0
74;04.09.2020 14:36:11;2,3911065;0;131,67901;0;5,795537;0;24,520702;0;363,52061;0;427,62935;0;459,42356;0;441,58092;0;405,47803;0;0;0
75;04.09.2020 14:36:12;2,7031344;0;147,28874;0;5,8048125;0;24,529456;0;363,20223;0;426,97627;0;458,52155;0;440,78043;0;404,93082;0;0;0
76;04.09.2020 14:36:13;2,8132351;0;157,32618;0;5,8083455;0;24,529039;0;363,37465;0;426,37157;0;457,73767;0;439,98014;0;404,24097;0;0;0
77;04.09.2020 14:36:14;2,7602875;0;94,898477;0;5,827574;0;24,529769;0;364,11728;0;425,78108;0;456,82488;0;439,36459;0;403,38448;0;0;0
78;04.09.2020 14:36:15;2,4518299;0;130,9744;0;5,8417686;0;24,529665;0;358,16275;0;425,20484;0;456,01417;0;438,66683;0;402,69463;0;0;0
79;04.09.2020 14:36:16;2,252458;0;175,26996;0;5,8656244;0;24,519138;0;359,8735;0;424,6414;0;455,30541;0;438,1128;0;402,00478;0;0;0
80;04.09.2020 14:36:17;2,0709902;0;119,44635;0;5,8799442;0;24,541441;0;359,25023;0;424,10783;0;454,50002;0;437,37403;0;401,21961;0;0;0
81;04.09.2020 14:36:18;2,0073209;0;80,334018;0;5,8847487;0;24,579898;0;359,38282;0;423,57569;0;453,83428;0;436,82;0;400,76771;0;0;0
82;04.09.2020 14:36:19;1,9866322;0;159,41898;0;5,9067181;0;24,582608;0;360,03269;0;423,0777;0;453,25975;0;435,9787;0;399,81614;0;0;0
83;04.09.2020 14:36:20;2,090612;0;232,80327;0;5,9079062;0;24,581461;0;355,55018;0;422,63804;0;452,696;0;435,36315;0;399,05474;0;0;0
84;04.09.2020 14:36:21;2,015331;0;245,74389;0;5,9163062;0;24,629194;0;353,61394;0;422,21688;0;452,18059;0;434,95266;0;398,50753;0;0;0
85;04.09.2020 14:36:22;1,9871839;0;218,75583;0;5,9221321;0;24,630444;0;356,46523;0;421,85832;0;451,65976;0;434,15237;0;397,62727;0;0;0
86;04.09.2020 14:36:23;1,8899752;0;220,95631;0;5,9306989;0;24,628047;0;355,35129;0;421,54246;0;451,21414;0;433,76257;0;396,93742;0;0;0
87;04.09.2020 14:36:24;1,85323;0;202,47414;0;5,9402558;0;24,625233;0;355,1655;0;421,28777;0;450,62888;0;433,37258;0;396,55684;0;0;0
88;04.09.2020 14:36:25;1,7536532;0;175,56748;0;5,9523244;0;24,626901;0;354,51576;0;421,06865;0;450,02752;0;432,67502;0;395,81921;0;0;0
