Name:;Daten Ger. INSTR 04.09.2020 14:18:43
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:18:43
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
33;04.09.2020 14:19:15;0,7972232;0;230,93708;0;5,9721677;0;24,124875;0;174,96283;0;215,36202;0;219,20165;0;209,04215;0;179,4009;0;0;0
34;04.09.2020 14:19:16;0,75578315;0;199,16798;0;5,9690098;0;24,13561;0;174,77717;0;216,00229;0;220,01241;0;209,86314;0;179,99567;0;0;0
35;04.09.2020 14:19:17;0,72701665;0;121,41533;0;5,9692287;0;24,130295;0;173,88859;0;216,61696;0;220,68893;0;210,39666;0;173,8341;0;0;0
36;04.09.2020 14:19:18;0,73604165;0;136,32385;0;5,9689577;0;24,127689;0;175,0159;0;217,2245;0;221,3493;0;211,17645;0;181,49446;0;0;0
37;04.09.2020 14:19:19;0,76067035;0;167,59172;0;5,968989;0;24,133005;0;173,82229;0;217,83491;0;222,03655;0;211,62775;0;182,54135;0;0;0
38;04.09.2020 14:19:20;0,92558205;0;179,92305;0;5,9690515;0;24,12696;0;175,50657;0;218,44103;0;222,70771;0;212,28451;0;183,13611;0;0;0
39;04.09.2020 14:19:21;1,0839982;0;181,71645;0;5,9719488;0;24,12425;0;178,18544;0;219,0372;0;223,40033;0;212,81803;0;183,92105;0;0;0
40;04.09.2020 14:19:22;1,1910437;0;187,10303;0;5,9846219;0;24,123;0;178,21203;0;219,62198;0;224,15738;0;213,35156;0;184,75376;0;0;0
41;04.09.2020 14:19:23;1,2232141;0;182,73996;0;5,9738977;0;24,12425;0;177,25715;0;220,21673;0;224,89833;0;214,00811;0;185,20566;0;0;0
42;04.09.2020 14:19:24;1,2341856;0;156,76977;0;5,9739394;0;24,125292;0;177,81412;0;220,77733;0;225,55876;0;214,74689;0;185,99083;0;0;0
43;04.09.2020 14:19:25;1,3696906;0;162,32031;0;5,9737518;0;24,120186;0;176,51452;0;221,34931;0;226,13861;0;215,30092;0;186,63313;0;0;0
44;04.09.2020 14:19:26;1,7517795;0;182,30099;0;5,9739186;0;24,125605;0;178,29156;0;221,90564;0;226,6809;0;215,95767;0;187,4183;0;0;0
45;04.09.2020 14:19:27;2,189559;0;191,30477;0;5,973658;0;24,134776;0;178,13238;0;222,48472;0;227,26611;0;216,26545;0;188,10815;0;0;0
46;04.09.2020 14:19:28;2,4906779;0;186,29112;0;5,9761801;0;24,122895;0;183,53007;0;223,07805;0;227,82991;0;217,18896;0;188,82177;0;0;0
