Name:;Daten Ger. INSTR 04.09.2020 11:09:41
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:09:41
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
41;04.09.2020 11:10:21;-5,524;0;108,81449;0;109,46862;0;1090,7274;0;1940,8268;0;1961,3382;0;-0,000112881;0
42;04.09.2020 11:10:22;-5,524;0;108,81449;0;109,46968;0;1090,7263;0;1940,8268;0;1961,3488;0;-0,000113305;0
43;04.09.2020 11:10:23;-5,523;0;108,81449;0;109,46968;0;1090,7274;0;1940,8268;0;1961,3488;0;-0,000112668;0
44;04.09.2020 11:10:24;-5,526;0;108,81556;0;109,46968;0;1090,7285;0;1940,8374;0;1961,3701;0;-0,000113093;0
45;04.09.2020 11:10:25;-5,523;0;108,81556;0;109,47075;0;1090,7295;0;1940,8374;0;1961,3701;0;-0,000112987;0
46;04.09.2020 11:10:26;-5,521;0;108,81769;0;109,47181;0;1090,7285;0;1940,8481;0;1961,3808;0;-0,000112137;0
47;04.09.2020 11:10:27;-5,521;0;108,81556;0;109,46968;0;1090,7295;0;1940,8374;0;1961,3595;0;-0,000112987;0
48;04.09.2020 11:10:28;-5,522;0;108,81556;0;109,46968;0;1090,7295;0;1940,8481;0;1961,3808;0;-0,000113199;0
49;04.09.2020 11:10:29;-5,522;0;108,81662;0;109,46968;0;1090,7285;0;1940,8268;0;1961,3808;0;-0,000113518;0
50;04.09.2020 11:10:30;-5,522;0;108,81769;0;109,47075;0;1090,7285;0;1940,8268;0;1961,3701;0;-0,000113518;0
51;04.09.2020 11:10:31;-5,52;0;108,81769;0;109,46968;0;1090,7306;0;1940,8268;0;1961,3488;0;-0,000113305;0
52;04.09.2020 11:10:32;-5,52;0;108,81556;0;109,47075;0;1090,7317;0;1940,8481;0;1961,3701;0;-0,000113412;0
53;04.09.2020 11:10:33;-5,518;0;108,81875;0;109,47181;0;1090,7327;0;1940,8268;0;1961,3488;0;-0,000113624;0
54;04.09.2020 11:10:34;-5,519;0;108,81662;0;109,47075;0;1090,7317;0;1940,8374;0;1961,3275;0;-0,000113518;0
