Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
41;04.09.2020 11:47:05;21,17;0;107,12918;0;108,6483;0;1080,4255;0;1884,5243;0;2323,5008;0;-0,000351066;0
42;04.09.2020 11:47:06;21,387;0;107,19501;0;108,73779;0;1081,2501;0;1887,252;0;2307,3687;0;-0,000344058;0
43;04.09.2020 11:47:07;21,611;0;107,2619;0;108,82515;0;1082,0843;0;1890,0225;0;2291,0554;0;-0,000337686;0
44;04.09.2020 11:47:08;21,836;0;107,33059;0;108,91677;0;1082,9291;0;1892,8142;0;2274,5717;0;-0,000330996;0
45;04.09.2020 11:47:09;22,067;0;107,40099;0;109,00732;0;1083,7792;0;1895,6591;0;2257,9495;0;-0,000323669;0
46;04.09.2020 11:47:10;22,304;0;107,4717;0;109,10001;0;1084,64;0;1898,568;0;2241,2208;0;-0,000317404;0
47;04.09.2020 11:47:11;22,542;0;107,54348;0;109,19056;0;1085,5094;0;1901,4876;0;2224,3215;0;-0,000310608;0
48;04.09.2020 11:47:12;22,785;0;107,61675;0;109,28325;0;1086,3829;0;1904,4604;0;2207,3583;0;-0,00030413;0
49;04.09.2020 11:47:13;23,03;0;107,69097;0;109,377;0;1087,265;0;1907,4652;0;2190,2882;0;-0,000296484;0
50;04.09.2020 11:47:14;23,273;0;107,76573;0;109,47075;0;1088,1546;0;1910,5232;0;2173,0587;0;-0,000288732;0
51;04.09.2020 11:47:15;23,524;0;107,84229;0;109,56663;0;1089,0484;0;1913,56;0;2155,8078;0;-0,000280556;0
52;04.09.2020 11:47:16;23,772;0;107,92045;0;109,65931;0;1089,9486;0;1916,6713;0;2138,4504;0;-0,000273335;0
53;04.09.2020 11:47:17;24,022;0;107,99904;0;109,75519;0;1090,8553;0;1919,8253;0;2121,061;0;-0,000266432;0
54;04.09.2020 11:47:18;24,27;0;108,07805;0;109,85321;0;1091,7672;0;1923,0112;0;2103,6183;0;-0,000258149;0
55;04.09.2020 11:47:19;24,523;0;108,15961;0;109,94802;0;1092,6823;0;1926,2184;0;2086,1542;0;-0,000250079;0
56;04.09.2020 11:47:20;24,773;0;108,23968;0;110,04497;0;1093,6038;0;1929,4576;0;2068,6583;0;-0,000242221;0
57;04.09.2020 11:47:21;25,026;0;108,3221;0;110,14085;0;1094,5307;0;1932,6968;0;2051,2263;0;-0,000233832;0
58;04.09.2020 11:47:22;25,278;0;108,40504;0;110,23886;0;1095,4554;0;1936,0106;0;2033,7623;0;-0,000226398;0
59;04.09.2020 11:47:23;25,53;0;108,48767;0;110,33474;0;1096,3887;0;1939,3244;0;2016,3729;0;-0,000217691;0
